header,type,include_count_unconditional,include_count_conditional,total_tu,ratio_unconditional,gameclient_ratio,in_conditional_dominant,aggregator_coverage,recent_changes_6mo,target_pch
UUIDGenerator.h,project,2,0,233,0.009,0.000,false,,0,unified
Viewport/ViewportPresentationTypes.h,project,2,0,233,0.009,0.222,false,,1,unified
windows.h,system,2,0,233,0.009,0.000,false,,0,unified
array,system,1,0,233,0.004,0.000,false,coretypes,0,unified
bit,system,1,0,233,0.004,0.000,false,,0,unified
BlendStateManager.h,project,1,0,233,0.004,0.000,false,,0,unified
Camera/CameraFadeModifier.h,project,1,0,233,0.004,0.000,false,,1,unified
Camera/CameraTypes.h,project,1,0,233,0.004,0.000,false,,1,unified
charconv,system,1,0,233,0.004,0.000,false,,0,unified
climits,system,1,0,233,0.004,0.000,false,,0,unified
ClusteredLightCuller.h,project,1,0,233,0.004,0.000,false,,0,unified
Collision/ConvexVolume.h,project,1,0,233,0.004,0.000,false,,1,unified
Collision/RayUtilsSIMD.h,project,1,0,233,0.004,0.000,false,,1,unified
Component/CylindricalBillboardComponent.h,project,1,0,233,0.004,0.000,false,,1,unified
Component/Light/AmbientLightComponent.h,project,1,0,233,0.004,0.000,false,,1,unified
Component/Light/DirectionalLightComponent.h,project,1,0,233,0.004,0.000,false,,1,unified
Component/Light/PointLightComponent.h,project,1,0,233,0.004,0.000,false,,1,unified
Component/Light/SpotLightComponent.h,project,1,0,233,0.004,0.000,false,,1,unified
Component/MeshComponent.h,project,1,0,233,0.004,0.000,false,,1,unified
Component/SkeletalGizmoComponent.h,project,1,0,233,0.004,0.000,false,,1,unified
Component/SkeletalMeshComponent.h,project,1,0,233,0.004,0.000,false,,1,unified
ContentBrowserElement.h,project,1,0,233,0.004,0.000,false,,0,unified
Core/EngineTypes.h,project,1,0,233,0.004,0.000,false,,1,unified
Core/TickFunction.h,project,1,0,233,0.004,0.000,false,,1,unified
cstdint,system,1,0,233,0.004,0.000,false,,0,unified
ctime,system,1,0,233,0.004,0.000,false,,0,unified
d3dcompiler.h,system,1,1,233,0.004,0.000,false,,0,unified
D3DDevice.h,project,1,0,233,0.004,0.000,false,,0,unified
DbgHelp.h,system,1,0,233,0.004,0.000,false,,0,unified
DDSTextureLoader.h,project,1,0,233,0.004,0.000,false,,0,unified
Debug/DebugDrawQueue.h,project,1,0,233,0.004,0.000,false,,1,unified
